OBJECTID,Shape,ID,AGENCY_NAM,PROGRAM_TY,AGENCY_TEL,CBO_SERVIC,SP_EIN,CBO_SP_TEL,SCHOOL_ID,SITE_NAME,SITE_BUILD,SITE_STREE,SITE_BOROU,SITE_ZIP,SETTING,ESTIMATED_,SUMMER,SCHOOL_YEA,WEEKENDS,EVENINGS,ELEMENTARY,MIDDLE_SCH,HIGH_SCHOO,WEEKLY_HOU,ENROLLMENT,ACADEMICS,SPORTS_PHY,ARTS_CULTU,NAME,ADDRESS1,ADDRESS2
254,"(40.75695164500007, -73.87490116899994)",DOE_DYCD500,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,30Q228,PS 228,32-80,93rd Street,Queens,11369,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,32-80 93rd Street,"Queens, NY 11369"
255,"(40.74576162400007, -73.92337649099994)",DOE_DYCD502,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,30Q150,PS 150,40-01,43rd Avenue,Queens,11104,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,40-01 43rd Avenue,"Queens, NY 11104"
256,"(40.74432647600008, -73.9569682469999)",DOE_DYCD499,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,30Q078,PS 78,48-09,Center Blvd.,Queens,11101,School,50,No,Yes,No,No,Yes,No,No,Full-time,50,yes,yes,yes,Virtual Y - YMCA of Greater NY,48-09 Center Blvd.,"Queens, NY 11109"
257,"(40.745253597000044, -73.82909547799994)",DOE_DYCD490,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,25Q120,PS 120,58-01,136th Street,Queens,11355,School,250,No,Yes,No,No,Yes,No,No,Full-time,250,yes,yes,yes,Virtual Y - YMCA of Greater NY,58-01 136th Street,"Queens, NY 11355"
258,"(40.736454742000035, -73.81291939099992)",DOE_DYCD489,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,25Q201,PS 201,65-11,155th Street,Queens,11367,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,65-11 155th Street,"Queens, NY 11367"
259,"(40.73466486700005, -73.89673040399992)",DOE_DYCD486,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,24Q229,PS 229,67-25,51st Road,Queens,11377,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,67-25 51st Road,"Queens, NY 11377"
260,"(40.72661010500008, -73.80740735699993)",DOE_DYCD488,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,25Q154,PS 154,75-02,162nd Street,Queens,11366,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,75-02 162nd Street,"Queens, NY 11366"
261,"(40.60489734100008, -73.9948386879999)",DOE_DYCD128,DOE,21st Century,212-374-5472,YMCA of Greater New York - Prospect Park,131624228,212-630-9729,21K690,Brooklyn Studio School,8310,21st Avenue,Brooklyn,11214,School,0,unknown,yes,unknown,unknown,No,No,yes,Full-time,0,yes,yes,yes,21st Century - YMCA of Greater NY - Prospect Park,8310 21st Avenue,"Brooklyn, NY 11214"
262,"(40.66209552300006, -73.93641648399995)",DOE_DYCD241,DOE,Other,212-374-5472,Jackie Robinson Center, ,718-773-3456,17K391,IS 391,790,East New York Avenue,Brooklyn,11203,School,200,No,Yes,No,No,no,yes,No,Full-time,200,yes,yes,yes,Other - Jackie Robinson Center,790 East New York Avenue,"Brooklyn, NY 11203"
263,"(40.67582409600004, -73.93515981599995)",DOE_DYCD238,DOE,Other,212-374-5472,Jackie Robinson Center, ,718-773-3456,16K243,PS 243,1580,Dean Street,Brooklyn,11213,School,200,No,Yes,No,No,no,yes,No,Full-time,200,yes,yes,yes,Other - Jackie Robinson Center,1580 Dean Street,"Brooklyn, NY 11213"
264,"(40.69086212500008, -73.97105375399991)",DOE_DYCD440,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,13K020,PS 20,225,Adelphi Street,Brooklyn,11205,School,200,No,Yes,No,No,Yes,No,No,Full-time,200,yes,yes,yes,Virtual Y - YMCA of Greater NY,225 Adelphi Street,"Brooklyn, NY 11205"
265,"(40.79294485200006, -73.94265428799991)",DOE_DYCD476,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,04M117,PS 117,240,East 109th Street,Manhattan,10029,School,60,No,Yes,No,No,Yes,No,No,Full-time,60,yes,yes,yes,Virtual Y - YMCA of Greater NY,240 East 109th Street,"Manhattan, NY 10029"
266,"(40.821270413000036, -73.94077547099994)",DOE_DYCD481,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,05M194,PS 194,244,West 144th Street,Manhattan,10030,School,60,No,Yes,No,No,Yes,No,No,Full-time,60,yes,yes,yes,Virtual Y - YMCA of Greater NY,244 West 144th Street,"Manhattan, NY 10030"
267,"(40.84555429000005, -73.9400224499999)",DOE_DYCD484,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,06M173,PS 173,306,Ft. Washington Avenue,Manhattan,10033,School,60,No,Yes,No,No,Yes,No,No,Full-time,60,yes,yes,yes,Virtual Y - YMCA of Greater NY,306 Ft. Washington Avenue,"Manhattan, NY 10033"
268,"(40.78632543300006, -73.97923370199993)",DOE_DYCD485,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,03M811,PS 811,466,West End Avenue,Manhattan,10024,School,24,No,Yes,No,No,Yes,No,No,Full-time,24,yes,yes,yes,Virtual Y - YMCA of Greater NY,466 West End Avenue,"Manhattan, NY 10024"
269,"(40.831630000000075, -73.94235983999994)",DOE_DYCD483,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,06M028,PS 28,475,West 155th Street,Manhattan,10032,School,60,No,Yes,No,No,Yes,No,No,Full-time,60,yes,yes,yes,Virtual Y - YMCA of Greater NY,475 West 155th Street,"Manhattan, NY 10032"
270,"(40.65873144300008, -73.94637927299993)",DOE_DYCD454,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,17K397,PS 397,490,Fenimore Street,Brooklyn,11203,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,490 Fenimore Street,"Brooklyn, NY 11203"
271,"(40.68222631100008, -73.96222656099991)",DYCD28,DYCD,OST,800-246-4646,"Fort Green Senior Citizen Council, Inc.", ,718-638-6910, ,Young Minds Day Care Ctr.,972,Fulton Street,Brooklyn,11238,center,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Fort Green Senior Citizen Council,972 Fulton Street,"Brooklyn, NY 11238"
272,"(40.710952141000064, -73.95953746399994)",DOE_DYCD139,DOE,21st Century,212-374-5472,El Puente de Williamsburg,112614265,718-387-0404,14K685,El Puente Academy,211,South 4th Street,Brooklyn,11211,School,0,unknown,yes,unknown,unknown,Yes,no,no,Full-time,0,yes,yes,yes,21st Century - El Puente de Williamsburg,211 South 4th Street,"Brooklyn, NY 11211"
273,"(40.72977774800006, -73.99234984799995)",DOE_DYCD59,DOE,21st Century,212-374-5472,Hetrick Martin Institute, ,212-674-2400,02M586,Harvey Milk School,2-10,Astor Place,Manhattan,10003,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Hetrick Martin Institute,2-10 Astor Place,"Manhattan, NY 10003"
274,"(40.67696690000008, -73.74566439099993)",QPL15,QPL,21st Century,718-990-0871,N/A,N/A,N/A,N/A,Laurelton,134-26,225 Street,Queens,11413,Library,100,yes,yes,no,yes,yes,yes,yes,Part-time,100,yes,no,yes,"QPL, Laurelton Branch, 21st Century Learning Center",134-26 225 Street,"Queens, NY 11413"
275,"(40.886285850000036, -73.8405238659999)",DOE_DYCD36,DOE,21st Century,212-374-5472,Baychester Youth Center, ,718-325-9484,11X142,MS 142,3750,Baychester Ave,Bronx,10466,School,0,unknown,yes,unknown,unknown,no,no,yes,Full-time,0,yes,yes,yes,21st Century - Baychester Youth Center,3750 Baychester Ave,"Bronx, NY 10466"
276,"(40.854502711000066, -73.91302089499993)",DOE_DYCD144,DOE,21st Century,212-374-5472,Neighborhood Youth & Family Services, ,718-299-2340,10X396,PS/MS 396,1930,Andrews Avenue,Bronx,10453,School,0,unknown,yes,unknown,unknown,Yes,yes,No,Full-time,0,yes,yes,yes,21st Century - Neighborhood Youth & Family Services,1930 Andrews Avenue,"Bronx, NY 10453"
277,"(40.676958969000054, -73.88384179699995)",DOE_DYCD158,DYCD,Beacon,800-246-4646,Cypress Hills Local Development,112683663,718-647-2800,19K302,IS 302,350,Linwood Street,Brooklyn,11208,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Cypress Hills Local Dev.,350 Linwood Street,"Brooklyn, NY 11208"
278,"(40.81524392000006, -73.94430259299992)",DOE_DYCD11,DOE,21st Century,212-374-5472,Abyssinian Development, ,212-238-8055,05M670,Thurgood Marshall Academy for Learning & Social Change,200,West 135th Street,Manhattan,10030,School,0,unknown,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,21st Century - Abyssinian Dev.,200 West 135th Street,"Manhattan, NY 10030"
279,"(40.87411858300004, -73.8322639559999)",DOE_DYCD38,DOE,21st Century,212-374-5472,Baychester Youth Center, ,718-325-9484,11X455,Harry S. Truman HS,750,Baychester Avenue,Bronx,10475,School,0,unknown,yes,unknown,unknown,no,no,yes,Full-time,0,yes,yes,yes,21st Century - Baychester Youth Center,750 Baychester Avenue,"Bronx, NY 10475"
280,"(40.88481477300007, -73.84392627799991)",DOE_DYCD35,DOE,21st Century,212-374-5472,Baychester Youth Center, ,718-325-9484,11X112,Bronxwood School,1925,Schieffelin Ave,Bronx,10466,School,0,unknown,yes,unknown,unknown,no,no,yes,Full-time,0,yes,yes,yes,21st Century - Baychester Youth Center,1925 Schieffelin Ave,"Bronx, NY 10466"
281,"(40.59399442200004, -73.76145484799991)",DOE_DYCD87,DOE,21st Century,212-374-5472,Queens Library, ,718-990-0871,27Q043,IS 43,160,Beach 29th Street,Queens,11691,School,0,unknown,yes,unknown,unknown,Yes,Yes,No,Full-time,0,yes,yes,yes,21st Century - Queens Borough Public Library,160 Beach 29th Street,"Queens, NY 11691"
282,"(40.58419322200007, -73.82533938499995)",DOE_DYCD145,DOE,21st Century,212-374-5472,Rainbow Rhymes Learning Center, ,718-325-6121,27Q180,IS 180,320,Beach 104th Street,Queens,11694,School,0,unknown,yes,unknown,unknown,No,Yes,No,Full-time,0,yes,yes,yes,21st Century - Rainbow Rhymes Learning Center,320 Beach 104th Street,"Queens, NY 11694"
283,"(40.83378139600006, -73.90396850099995)",DOE_DYCD167,DYCD,Beacon,800-246-4646,Directions For Our Youth,61308851,212-362-4020,09X219,Dr. Charles R. Drew Educational Complex,3630,3rd Avenue,Bronx,10456,School,1350,yes,yes,yes,yes,yes,yes,yes,Full-time,1350,yes,yes,yes,Beacon - Directions For Our Youth,3630 3rd Avenue,"Bronx, NY 10456"
284,"(40.68052477400005, -73.9107799219999)",DOE_DYCD64,DOE,21st Century,212-374-5472,"Oasis Children's Services, LLC (summer only program)", ,718-596-4900,23K073,PS 73,251,McDougal Street,Brooklyn,11233,School,0,yes,no,unknown,unknown,Yes,No,no,Full-time,0,yes,yes,yes,21st Century - Oasis Children's Services,251 McDougal Street,"Brooklyn, NY 11233"
285,"(40.69829414700007, -73.98650464299993)",DOE_DYCD147,DOE,21st Century,212-374-5472,Revelation Performing Arts Studio, ,347-386-1819,13K509,Freedom Academy HS,116,Nassau Street,Brooklyn,11201,School,0,unknown,yes,unknown,unknown,No,No,yes,Full-time,0,yes,yes,yes,21st Century - Revelation Performing Arts Studio,116 Nassau Street,"Brooklyn, NY 11201"
286,"(40.887985222000054, -73.91395615399995)",DOE_DYCD149,DOE,21st Century,212-374-5472,Riverdale Comm Ctr, ,718-796-4724,10X141,MS/HS 141,660,West 237th Street,Bronx,10463,School,0,unknown,yes,unknown,unknown,No,yes,yes,Full-time,0,yes,yes,yes,21st Century - Riverdale Comm Ctr,660 West 237th Street,"Bronx, NY 10463"
287,"(40.579895140000076, -73.96185328999991)",DOE_DYCD150,DOE,21st Century,212-374-5472,Shorefront YM-YWHA of Brighton - Manhattan Beach,113070228,718-646-1444,21K253,PS 253,601,Oceanview Avenue,Brooklyn,11235,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - Shorefront YM-YWHA of Brighton - Manhattan Beach,601 Oceanview Avenue,"Brooklyn, NY 11235"
288,"(40.59455979100005, -73.99386126499991)",DOE_DYCD153,DOE,21st Century,212-374-5472,South Brooklyn Youth Consortium, ,718-265-3225,21K281,PS 281,8787,24th Avenue,Brooklyn,11214,School,0,unknown,yes,unknown,unknown,Yes,No,No,Full-time,0,yes,yes,yes,21st Century - South Brooklyn Youth Consortium,8787 24th Avenue,"Brooklyn, NY 11214"
289,"(40.68052477400005, -73.9107799219999)",DOE_DYCD57,DOE,21st Century,212-374-5472,Highbridge Community Life Center, ,718-293-6103,23K073,PS 73,251,McDougal Street,Brooklyn,11233,School,0,unknown,yes,unknown,unknown,Yes,No,yes,Full-time,0,yes,yes,yes,21st Century - Highbridge Comm. Life Center,251 McDougal Street,"Brooklyn, NY 11233"
290,"(40.764940772000045, -73.87137008999991)",DYCD190,DYCD,OST,800-246-4646,"Elmcor Youth And Adult Activities, Inc.", ,718-651-0096,30Q127,The Aerospace Science Magnet,98-01,25th Avenue,Queens,11369,school,0,no,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - Elmcor Youth And Adult Activities,98-01 25th Avenue,"Queens, NY 11369"
291,"(40.67522626200008, -73.81666934299994)",DYCD266,DYCD,OST,800-246-4646,MercyFirst, ,718-848-1532,27Q226,Virgil I. Grissom School,121-10,Rockaway Boulevard,Queens,11420,school,0,yes,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - MercyFirst,121-10 Rockaway Boulevard,"Queens, NY 11420"
292,"(40.86430733600008, -73.82398544199992)",DYCD686,DYCD,OST,800-246-4646,"Mosholu Montefiore Community Center, Inc.",133622107,718-482-5081,11X160,PS 160 WALT DISNEY (X160),4140,HUTCHINSON RIVER PKWY E,Bronx,10475,School,125,Yes,Yes,unknown,unknown,Yes,No,No,Full-time,125,Yes,Yes,Yes,OST - Mosholu Montefiore Comm. Center,4140 Hutchinson River Pkwy E,"Bronx, NY 10475"
293,"(40.87411858300004, -73.8322639559999)",DYCD687,DYCD,OST,800-246-4646,"Mosholu Montefiore Community Center, Inc.",133622107,917-482-5030,11X153,Helen Keller School,650,Baychester Avenue,Bronx,10475,school,125,Yes,Yes,unknown,unknown,Yes,No,No,Full-time,125,Yes,Yes,Yes,OST - Mosholu Montefiore Comm. Center,650 Baychester Avenue,"Bronx, NY 10475"
294,"(40.61973763600008, -73.95909800499993)",DYCD267,DYCD,OST,800-246-4646,Midwood Development Corporation, ,718-376-0999,21K525,Edward R. Murrow HS,1600,Avenue L,Brooklyn,11230,school,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - Midwood Dev.,1600 Avenue L,"Brooklyn, NY 11230"
295,"(40.72821664500009, -73.86311983599995)",DOE_DYCD495,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,28Q139, PS 139,93-06,63rd Drive,Queens,11374,School,250,No,Yes,No,No,Yes,No,No,Full-time,250,yes,yes,yes,Virtual Y - YMCA of Greater NY,93-06 63rd Drive,"Queens, NY 11374"
296,"(40.62184991400005, -73.95027165499994)",DYCD268,DYCD,OST,800-246-4646,Midwood Development Corporation, ,718-376-0999,22K193,Gil Hodges Elementary School,2515,Avenue L,Brooklyn,11210,school,0,no,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Midwood Dev.,2515 Avenue L,"Brooklyn, NY 11210"
297,"(40.61259100800004, -73.95157452599994)",DYCD269,DYCD,OST,800-246-4646,Midwood Development Corporation, ,718-376-0999,22K197,PS 197,1599,East 22nd Street,Brooklyn,11210,school,0,no,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Midwood Dev.,1599 East 22nd Street,"Brooklyn, NY 11210"
298,"(40.70843530500008, -73.80417983299992)",DYCD272,DYCD,OST,800-246-4646,Mt. Sinai School of Medicine, ,212-650-6088,28Q680,Gateway to Health Sciences HS,150-91,87th Road,Queens,11432,school,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - Mt. Sinai School of Medicine,150-91 87th Road,"Queens, NY 11432"
299,"(40.627193860000034, -74.03932596999994)",DYCD273,DYCD,OST,800-246-4646,National Chorale, ,212-333-5333,20K490,Fort Hamilton HS,8301,Shore Road,Brooklyn,11209,school,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - National Chorale,8301 Shore Road,"Brooklyn, NY 11209"
300,"(40.66609704000007, -73.94979602099994)",DYCD428,DYCD,OST,800-246-4646,"Associated Beth Rivkah Schools, Inc", ,718-735-0400, ,Associated Beth Rivkah Schools,310,Crown Street,Brooklyn,11225,center,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - Associated Beth Rivkah Schools,310 Crown Street,"Brooklyn, NY 11225"
301,"(40.60140454700007, -73.74530042099991)",DYCD430,DYCD,OST,800-246-4646,Bnos Bias Yaakov, ,718-337-6000, ,Bnos Bias Yaakov,613,Beach 9th Street,Queens,11691,center,0,no,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Bnos Bias Yaakov,613 Beach 9th Street,"Queens, NY 11691"
302,"(40.67502050000007, -73.95420397899994)",DYCD30,DYCD,OST,800-246-4646,Friends of Crown Heights Educational Center, ,718-638-8686, ,Friends of Crown Heights Educational Ctr.,671,Prospect Place,Brooklyn,11216,center,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Friends of Crown Heights Educational Center,671 Prospect Place,"Brooklyn, NY 11216"
303,"(40.67341350600009, -73.92884549999991)",DYCD31,DYCD,OST,800-246-4646,George C. Conliffe Child Care Center, ,718-778-1498, ,George C. Conliffe Child Care Ctr.,1435,Prospect Place,Brooklyn,11213,center,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - George C. Conliffe Child Care Center,1435 Prospect Place,"Brooklyn, NY 11213"
304,"(40.66171693300004, -73.95727298499992)",DYCD32,DYCD,OST,800-246-4646,Grace Preschool Day Care Center, ,718-856-6700, ,Grace Preschool Day Care Ctr.,1800,Bedford Avenue,Brooklyn,11225,center,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Grace Preschool Day Care Center,1800 Bedford Avenue,"Brooklyn, NY 11225"
305,"(40.67286258100006, -73.95143853699994)",DYCD33,DYCD,OST,800-246-4646,Haitian American Day Care Center, ,718-756-0253, ,Haitian American Day Care Ctr.,813,Sterling Place,Brooklyn,11216,center,0,yes,yes,unknown,unknown,yes,no,no,Full-time,0,yes,yes,yes,OST - Haitian American Day Care Center,813 Sterling Place,"Brooklyn, NY 11216"
306,"(40.82501982200006, -73.87397979899993)",DYCD286,DYCD,OST,800-246-4646,New York Junior Tennis League, ,718-786-7110,08X337,IS 337,1025,Morrison Avenue,Bronx,10472,school,0,no,yes,unknown,unknown,no,yes,no,Full-time,0,yes,yes,yes,OST - NY Junior Tennis League,1025 Morrison Avenue,"Bronx, NY 10472"
307,"(40.645307150000065, -74.0815778299999)",DYCD294,DYCD,OST,800-246-4646,Northfield Community LDC, ,718-442-7351,31R450,Curtis High School,105,Hamilton Avenue,Staten Island,10301,school,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - Northfield Comm. LDC,105 Hamilton Avenue,"Staten Island, NY 10301"
308,"(40.82156497800008, -73.8557666719999)",DYCD295,DYCD,OST,800-246-4646,OPUS Dance Theatre and Community Services Inc., ,212-996-8413,08X305,Pablo Neruda Academy,1980,Lafayette Avenue,Bronx,10473,school,0,no,yes,unknown,unknown,no,no,yes,Part-time,0,no,no,no,OST - OPUS Dance Theatre and Comm. Services,1980 Lafayette Avenue,"Bronx, NY 10473"
309,"(40.81384045400006, -73.9002066569999)",DOE_DYCD431,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,08X062,PS 62,660,Fox Street,Bronx,10455,School,60,No,Yes,No,No,Yes,No,No,Full-time,60,yes,yes,yes,Virtual Y - YMCA of Greater NY,660 Fox Street,"Bronx, NY 10455"
310,"(40.63097912200004, -74.12709963499992)",DOE_DYCD504,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,31R019,PS 19,780,Post Avenue,Staten Island,10310,School,50,No,Yes,No,No,Yes,No,No,Full-time,50,yes,yes,yes,Virtual Y - YMCA of Greater NY,780 Post Avenue,"Staten Island, NY 10310"
311,"(40.66394357200005, -73.93608827799994)",DOE_DYCD453,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,17K221,PS 221,791,Empire Blvd.,Brooklyn,11213,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,791 Empire Blvd.,"Brooklyn, NY 11213"
312,"(40.69441275300005, -73.92798002299992)",DOE_DYCD466,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,32K274,PS 274,800,Bushwick Avenue,Brooklyn,11221,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,800 Bushwick Avenue,"Brooklyn, NY 11221"
313,"(40.685329179000064, -73.92289347499991)",DOE_DYCD450,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,16K005,PS 5,820,Hancock Street,Brooklyn,11233,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,820 Hancock Street,"Brooklyn, NY 11233"
314,"(40.59990058600005, -73.74409540599993)",DOE_DYCD494,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,27Q197,PS 197,825,Hicksville Road,Queens,11691,School,120,No,Yes,No,No,Yes,No,No,Full-time,120,yes,yes,yes,Virtual Y - YMCA of Greater NY,825 Hicksville Road,"Queens, NY 11691"
315,"(40.67841376000007, -73.92023037399991)",DOE_DYCD451,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,16K028,PS 28,1001,Herkimer Street,Brooklyn,11233,School,50,No,Yes,No,No,Yes,No,No,Full-time,50,yes,yes,yes,Virtual Y - YMCA of Greater NY,1001 Herkimer Street,"Brooklyn, NY 11233"
316,"(40.60287215800008, -74.1378263599999)",DOE_DYCD508,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,31R054,PS 54,1060,Willowbrook Road,Staten Island,10314,School,50,No,Yes,No,No,Yes,No,No,Full-time,50,yes,yes,yes,Virtual Y - YMCA of Greater NY,1060 Willowbrook Road,"Staten Island, NY 10314"
317,"(40.81403195300004, -73.88684641299994)",DOE_DYCD430,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,08X048,PS 48,1290,Spofford Avenue,Bronx,10474,School,60,No,Yes,No,No,Yes,No,No,Full-time,60,yes,yes,yes,Virtual Y - YMCA of Greater NY,1290 Spofford Avenue,"Bronx, NY 10474"
318,"(40.83155809400006, -73.89455529799994)",DOE_DYCD438,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,12X134,PS 134,1330,Bristow Street,Bronx,10473,School,50,No,Yes,No,No,Yes,No,No,Full-time,50,yes,yes,yes,Virtual Y - YMCA of Greater NY,1330 Bristow Street,"Bronx, NY 10459"
319,"(40.63494672600007, -73.89767891799994)",DOE_DYCD455,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,18K115,PS 115,1500,East 92 Street,Brooklyn,11236,School,50,No,Yes,No,No,Yes,No,No,Full-time,50,yes,yes,yes,Virtual Y - YMCA of Greater NY,1500 East 92 Street,"Brooklyn, NY 11236"
320,"(40.82204654100008, -73.8769853149999)",DOE_DYCD432,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,08X093,PS 93,1535,Story Avenue,Bronx,10473,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,1535 Story Avenue,"Bronx, NY 10473"
321,"(40.84175632400007, -73.89795321699995)",DOE_DYCD434,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,09X004,PS 4,1701,Fulton Avenue,Bronx,10457,School,60,No,Yes,No,No,Yes,No,No,Full-time,60,yes,yes,yes,Virtual Y - YMCA of Greater NY,1701 Fulton Avenue,"Bronx, NY 10457"
322,"(40.62506095200007, -74.1510552119999)",DOE_DYCD505,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,31R022,PS 22,1860,Forest Avenue,Staten Island,10303,School,325,No,Yes,No,No,Yes,No,No,Full-time,325,yes,yes,yes,Virtual Y - YMCA of Greater NY,1860 Forest Avenue,"Staten Island, NY 10303"
323,"(40.60306019300003, -74.00167405299993)",DOE_DYCD460,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,21K200,PS 200,1940,Benson Avenue,Brooklyn,11214,School,50,No,Yes,No,No,Yes,No,No,Full-time,50,yes,yes,yes,Virtual Y - YMCA of Greater NY,1940 Benson Avenue,"Brooklyn, NY 11214"
324,"(40.632597247000035, -73.95426968099991)",DOE_DYCD457,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,22K152,PS 152,2310,Glenwood Road,Brooklyn,11210,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,2310 Glenwood Road,"Brooklyn, NY 11210"
325,"(40.62184991400005, -73.95027165499994)",DOE_DYCD459,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,22K193,PS 193,2515,Avenue L,Brooklyn,11210,School,40,No,Yes,No,No,Yes,No,No,Full-time,40,yes,yes,yes,Virtual Y - YMCA of Greater NY,2515 Avenue L,"Brooklyn, NY 11210"
326,"(40.63485166400005, -73.98202520299992)",DOE_DYCD461,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,20K223,IS 223,4200,16th Avenue,Brooklyn,11204,School,200,No,Yes,No,No,Yes,No,No,Full-time,200,yes,yes,yes,Virtual Y - YMCA of Greater NY,4200 16th Avenue,"Brooklyn, NY 11204"
327,"(40.645916783000075, -74.00184128899991)",DOE_DYCD449,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,15K169,PS 169,4305,7th Avenue,Brooklyn,11232,School,50,No,Yes,No,No,Yes,No,No,Full-time,50,yes,yes,yes,Virtual Y - YMCA of Greater NY,4305 7th Avenue,"Brooklyn, NY 11232"
328,"(40.64369834800004, -74.0086370599999)",DOE_DYCD448,DOE,Virtual Y,212-374-5472,YMCA of Greater New York,131624228,212-630-9729,15K094,PS 94,5010,6th Avenue,Brooklyn,11220,School,70,No,Yes,No,No,Yes,No,No,Full-time,70,yes,yes,yes,Virtual Y - YMCA of Greater NY,5010 6th Avenue,"Brooklyn, NY 11220"
